127.0.0.1, 2019-06-17 02:33:13, GET, /BankSystem/wiki, HTTP/1.1, 404, 0.072010
127.0.0.1, 2019-06-17 02:33:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:33:35, GET, /BankSystem/, HTTP/1.1, 200, 0.099998
127.0.0.1, 2019-06-17 02:33:36, GET, /BankSystem/static/images/background.jpg, HTTP/1.1, 404, 0.004003
127.0.0.1, 2019-06-17 02:34:03, GET, /BankSystem/default/index, HTTP/1.1, 200, 0.092007
127.0.0.1, 2019-06-17 02:34:03, GET, /BankSystem/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-06-17 02:34:18, GET, /BankSystem/default/contacts, HTTP/1.1, 500, 0.663998
127.0.0.1, 2019-06-17 02:34:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:34:27, GET, /admin/default/ticket/BankSystem/127.0.0.1.2019-06-17.02-34-17.26ffc0ac-906b-4777-9304-63fd48b9889c, HTTP/1.1, 200, 0.627998
127.0.0.1, 2019-06-17 02:34:27, GET, /admin/default/ticket/BankSystem/127.0.0.1.2019-06-17.02-34-17.26ffc0ac-906b-4777-9304-63fd48b9889c, HTTP/1.1, 200, 0.016002
127.0.0.1, 2019-06-17 02:34:32, GET, /admin/default/ticket/BankSystem/127.0.0.1.2019-06-17.02-34-17.26ffc0ac-906b-4777-9304-63fd48b9889c, HTTP/1.1, 200, 0.011998
127.0.0.1, 2019-06-17 02:34:49, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2019-06-17 02:34:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.124003
127.0.0.1, 2019-06-17 02:34:49, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004002
127.0.0.1, 2019-06-17 02:34:49, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.003995
127.0.0.1, 2019-06-17 02:34:49, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.003995
127.0.0.1, 2019-06-17 02:34:49, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2019-06-17 02:34:49, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004001
127.0.0.1, 2019-06-17 02:34:49, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.003999
127.0.0.1, 2019-06-17 02:34:49, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2019-06-17 02:34:49, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2019-06-17 02:34:49, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.003999
127.0.0.1, 2019-06-17 02:34:50, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.004004
127.0.0.1, 2019-06-17 02:34:56, GET, /BankSystem/default/contacts, HTTP/1.1, 500, 0.227999
127.0.0.1, 2019-06-17 02:34:56, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2019-06-17 02:34:58, GET, /admin/default/ticket/BankSystem/127.0.0.1.2019-06-17.02-34-56.b57ab555-2f99-4184-a437-7de322dd6e0f, HTTP/1.1, 303, 0.167932
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/default/index, HTTP/1.1, 200, 0.368002
